name,value,year,lastValue,rank
Playstation Portable,2973122,2013.1,2970000,8
Nintendo Wii,1965496,2013.1,1950000,9
Nintendo DS,826379,2013.1,820000,10
Nintendo Switch,NA,2013.1,NA,11
Nintendo 3DS,14326856,2013.2,14324839,1
PlayStation 3,8264456,2013.2,8261760,2
Xbox 360,6265879,2013.2,6247327,3
PlayStation 4,4520951,2013.2,4503370,4
PlayStation Vita,3414955,2013.2,3407497,5
Nintendo Wii U,3116705,2013.2,3112650,6
Xbox One,3112158,2013.2,3096253,7
Playstation Portable,2979511,2013.2,2973122,8
Nintendo Wii,1972963,2013.2,1965496,9
Nintendo DS,841497,2013.2,826379,10
Nintendo Switch,NA,2013.2,NA,11
Nintendo 3DS,14338449,2013.3,14326856,1
PlayStation 3,8279467,2013.3,8264456,2
Xbox 360,6283798,2013.3,6265879,3
PlayStation 4,4524967,2013.3,4520951,4
PlayStation Vita,3428092,2013.3,3414955,5
Nintendo Wii U,3118947,2013.3,3116705,6
Xbox One,3112479,2013.3,3112158,7
Playstation Portable,2992926,2013.3,2979511,8
Nintendo Wii,1975666,2013.3,1972963,9
Nintendo DS,843437,2013.3,841497,10
Nintendo Switch,NA,2013.3,NA,11
Nintendo 3DS,14358008,2013.4,14338449,1
PlayStation 3,8298631,2013.4,8279467,2
Xbox 360,6292660,2013.4,6283798,3
PlayStation 4,4528576,2013.4,4524967,4
PlayStation Vita,3431790,2013.4,3428092,5
Nintendo Wii U,3126595,2013.4,3118947,6
Xbox One,3126004,2013.4,3112479,7
Playstation Portable,2996784,2013.4,2992926,8
Nintendo Wii,1991186,2013.4,1975666,9
Nintendo DS,856852,2013.4,843437,10
Nintendo Switch,NA,2013.4,NA,11
Nintendo 3DS,14370727,2013.5,14358008,1
PlayStation 3,8307666,2013.5,8298631,2
Xbox 360,6311087,2013.5,6292660,3
PlayStation 4,4528953,2013.5,4528576,4
PlayStation Vita,3434133,2013.5,3431790,5
Nintendo Wii U,3143582,2013.5,3126595,6
Xbox One,3129159,2013.5,3126004,7
Playstation Portable,3011010,2013.5,2996784,8
Nintendo Wii,1993144,2013.5,1991186,9
Nintendo DS,858433,2013.5,856852,10
Nintendo Switch,NA,2013.5,NA,11
Nintendo 3DS,14384546,2013.6,14370727,1
PlayStation 3,8327270,2013.6,8307666,2
Xbox 360,6316606,2013.6,6311087,3
PlayStation 4,4548148,2013.6,4528953,4
PlayStation Vita,3442982,2013.6,3434133,5
Xbox One,3147274,2013.6,3129159,6
Nintendo Wii U,3145654,2013.6,3143582,7
Playstation Portable,3025391,2013.6,3011010,8
Nintendo Wii,2010689,2013.6,1993144,9
Nintendo DS,864576,2013.6,858433,10
Nintendo Switch,NA,2013.6,NA,11
Nintendo 3DS,14397441,2013.7,14384546,1
PlayStation 3,8339838,2013.7,8327270,2
Xbox 360,6334803,2013.7,6316606,3
PlayStation 4,4551177,2013.7,4548148,4
PlayStation Vita,3443096,2013.7,3442982,5
Nintendo Wii U,3164988,2013.7,3145654,6
Xbox One,3162592,2013.7,3147274,7
Playstation Portable,3034925,2013.7,3025391,8
Nintendo Wii,2014452,2013.7,2010689,9
Nintendo DS,867972,2013.7,864576,10
Nintendo Switch,NA,2013.7,NA,11
Nintendo 3DS,14397894,2013.8,14397441,1
PlayStation 3,8356092,2013.8,8339838,2
Xbox 360,6341315,2013.8,6334803,3
PlayStation 4,4568849,2013.8,4551177,4
PlayStation Vita,3449485,2013.8,3443096,5
Nintendo Wii U,3174362,2013.8,3164988,6
Xbox One,3171592,2013.8,3162592,7
Playstation Portable,3053651,2013.8,3034925,8
Nintendo Wii,2021993,2013.8,2014452,9
Nintendo DS,883158,2013.8,867972,10
Nintendo Switch,NA,2013.8,NA,11
Nintendo 3DS,14401993,2013.9,14397894,1
PlayStation 3,8362541,2013.9,8356092,2
Xbox 360,6357987,2013.9,6341315,3
PlayStation 4,4570497,2013.9,4568849,4
PlayStation Vita,3456051,2013.9,3449485,5
Nintendo Wii U,3179594,2013.9,3174362,6
Xbox One,3172637,2013.9,3171592,7
Playstation Portable,3072542,2013.9,3053651,8
Nintendo Wii,2041001,2013.9,2021993,9
Nintendo DS,890664,2013.9,883158,10
Nintendo Switch,NA,2013.9,NA,11
PlayStation 4,14590000,2014,4570497,1
Nintendo 3DS,9740000,2014,14401993,2
Xbox One,7910000,2014,3172637,3
Nintendo Wii U,3640000,2014,3179594,4
PlayStation 3,3560000,2014,8362541,5
Xbox 360,2600000,2014,6357987,6
PlayStation Vita,2300000,2014,3456051,7
Nintendo Wii,520000,2014,2041001,8
Playstation Portable,390000,2014,3072542,9
Nintendo DS,NA,2014,890664,10
Nintendo Switch,NA,2014,NA,11
PlayStation 4,14590000,2014.1,14590000,1
Nintendo 3DS,9758759,2014.1,9740000,2
Xbox One,7921075,2014.1,7910000,3
Nintendo Wii U,3651314,2014.1,3640000,4
PlayStation 3,3568368,2014.1,3560000,5
Xbox 360,2601985,2014.1,2600000,6
PlayStation Vita,2314872,2014.1,2300000,7
Nintendo Wii,521304,2014.1,520000,8
Playstation Portable,406015,2014.1,390000,9
Nintendo DS,NA,2014.1,NA,10
Nintendo Switch,NA,2014.1,NA,11
PlayStation 4,14590000,2014.2,14590000,1
Nintendo 3DS,9764587,2014.2,9758759,2
Xbox One,7932450,2014.2,7921075,3
Nintendo Wii U,3662546,2014.2,3651314,4
PlayStation 3,3577751,2014.2,3568368,5
Xbox 360,2621528,2014.2,2601985,6
PlayStation Vita,2333958,2014.2,2314872,7
Nintendo Wii,521647,2014.2,521304,8
Playstation Portable,416797,2014.2,406015,9
Nintendo DS,NA,2014.2,NA,10
Nintendo Switch,NA,2014.2,NA,11
PlayStation 4,14590000,2014.3,14590000,1
Nintendo 3DS,9782665,2014.3,9764587,2
Xbox One,7947365,2014.3,7932450,3
Nintendo Wii U,3665209,2014.3,3662546,4
PlayStation 3,3592473,2014.3,3577751,5
Xbox 360,2632661,2014.3,2621528,6
PlayStation Vita,2351277,2014.3,2333958,7
Nintendo Wii,522791,2014.3,521647,8
Playstation Portable,429860,2014.3,416797,9
Nintendo DS,NA,2014.3,NA,10
Nintendo Switch,NA,2014.3,NA,11
PlayStation 4,14590000,2014.4,14590000,1
Nintendo 3DS,9788868,2014.4,9782665,2
Xbox One,7955339,2014.4,7947365,3
Nintendo Wii U,3683191,2014.4,3665209,4
PlayStation 3,3598505,2014.4,3592473,5
Xbox 360,2636162,2014.4,2632661,6
PlayStation Vita,2364957,2014.4,2351277,7
Nintendo Wii,523680,2014.4,522791,8
Playstation Portable,437139,2014.4,429860,9
Nintendo DS,NA,2014.4,NA,10
Nintendo Switch,NA,2014.4,NA,11
PlayStation 4,14590000,2014.5,14590000,1
Nintendo 3DS,9798417,2014.5,9788868,2
Xbox One,7968043,2014.5,7955339,3
Nintendo Wii U,3698819,2014.5,3683191,4
PlayStation 3,3601896,2014.5,3598505,5
Xbox 360,2646135,2014.5,2636162,6
PlayStation Vita,2368288,2014.5,2364957,7
Nintendo Wii,524285,2014.5,523680,8
Playstation Portable,449561,2014.5,437139,9
Nintendo DS,NA,2014.5,NA,10
Nintendo Switch,NA,2014.5,NA,11
PlayStation 4,14590000,2014.6,14590000,1
Nintendo 3DS,9817392,2014.6,9798417,2
Xbox One,7986232,2014.6,7968043,3
Nintendo Wii U,3703730,2014.6,3698819,4
PlayStation 3,3617824,2014.6,3601896,5
Xbox 360,2654007,2014.6,2646135,6
PlayStation Vita,2369545,2014.6,2368288,7
Nintendo Wii,524400,2014.6,524285,8
Playstation Portable,456250,2014.6,449561,9
Nintendo DS,NA,2014.6,NA,10
Nintendo Switch,NA,2014.6,NA,11
PlayStation 4,14590000,2014.7,14590000,1
Nintendo 3DS,9823099,2014.7,9817392,2
Xbox One,8000053,2014.7,7986232,3
Nintendo Wii U,3718772,2014.7,3703730,4
PlayStation 3,3630926,2014.7,3617824,5
Xbox 360,2668266,2014.7,2654007,6
PlayStation Vita,2372545,2014.7,2369545,7
Nintendo Wii,525828,2014.7,524400,8
Playstation Portable,469352,2014.7,456250,9
Nintendo DS,NA,2014.7,NA,10
Nintendo Switch,NA,2014.7,NA,11
PlayStation 4,14590000,2014.8,14590000,1
Nintendo 3DS,9827782,2014.8,9823099,2
Xbox One,8008297,2014.8,8000053,3
Nintendo Wii U,3721843,2014.8,3718772,4
PlayStation 3,3646177,2014.8,3630926,5
Xbox 360,2675635,2014.8,2668266,6
PlayStation Vita,2390914,2014.8,2372545,7
Nintendo Wii,527446,2014.8,525828,8
Playstation Portable,487309,2014.8,469352,9
Nintendo DS,NA,2014.8,NA,10
Nintendo Switch,NA,2014.8,NA,11
PlayStation 4,14590000,2014.9,14590000,1
Nintendo 3DS,9835052,2014.9,9827782,2
Xbox One,8021028,2014.9,8008297,3
Nintendo Wii U,3731894,2014.9,3721843,4
PlayStation 3,3656852,2014.9,3646177,5
Xbox 360,2683140,2014.9,2675635,6
PlayStation Vita,2395326,2014.9,2390914,7
Nintendo Wii,529431,2014.9,527446,8
Playstation Portable,491260,2014.9,487309,9
Nintendo DS,NA,2014.9,NA,10
Nintendo Switch,NA,2014.9,NA,11
PlayStation 4,17510000,2015,14590000,1
Xbox One,8630000,2015,8021028,2
Nintendo 3DS,7330000,2015,9835052,3
Nintendo Wii U,3460000,2015,3731894,4
PlayStation Vita,2680000,2015,2395326,5
PlayStation 3,1340000,2015,3656852,6
Xbox 360,930000,2015,2683140,7
Nintendo Wii,70000,2015,529431,8
Nintendo DS,NA,2015,NA,9
Playstation Portable,NA,2015,491260,10
Nintendo Switch,NA,2015,NA,11
PlayStation 4,17510000,2015.1,17510000,1
Xbox One,8644290,2015.1,8630000,2
Nintendo 3DS,7334348,2015.1,7330000,3
Nintendo Wii U,3462312,2015.1,3460000,4
PlayStation Vita,2687750,2015.1,2680000,5
PlayStation 3,1343295,2015.1,1340000,6
Xbox 360,930431,2015.1,930000,7
Nintendo Wii,69098,2015.1,70000,8
Nintendo DS,NA,2015.1,NA,9
Playstation Portable,NA,2015.1,NA,10
Nintendo Switch,NA,2015.1,NA,11
PlayStation 4,17510000,2015.2,17510000,1
Xbox One,8644974,2015.2,8644290,2
Nintendo 3DS,7352343,2015.2,7334348,3
Nintendo Wii U,3466890,2015.2,3462312,4
PlayStation Vita,2693416,2015.2,2687750,5
PlayStation 3,1351234,2015.2,1343295,6
Xbox 360,949929,2015.2,930431,7
Nintendo Wii,68401,2015.2,69098,8
Nintendo DS,NA,2015.2,NA,9
Playstation Portable,NA,2015.2,NA,10
Nintendo Switch,NA,2015.2,NA,11
PlayStation 4,17510000,2015.3,17510000,1
Xbox One,8664094,2015.3,8644974,2
Nintendo 3DS,7365293,2015.3,7352343,3
Nintendo Wii U,3480404,2015.3,3466890,4
PlayStation Vita,2694235,2015.3,2693416,5
PlayStation 3,1361002,2015.3,1351234,6
Xbox 360,956802,2015.3,949929,7
Nintendo Wii,68139,2015.3,68401,8
Nintendo DS,NA,2015.3,NA,9
Playstation Portable,NA,2015.3,NA,10
Nintendo Switch,NA,2015.3,NA,11
PlayStation 4,17510000,2015.4,17510000,1
Xbox One,8679458,2015.4,8664094,2
Nintendo 3DS,7369683,2015.4,7365293,3
Nintendo Wii U,3481465,2015.4,3480404,4
PlayStation Vita,2701862,2015.4,2694235,5
PlayStation 3,1377087,2015.4,1361002,6
Xbox 360,960358,2015.4,956802,7
Nintendo Wii,67549,2015.4,68139,8
Nintendo DS,NA,2015.4,NA,9
Playstation Portable,NA,2015.4,NA,10
Nintendo Switch,NA,2015.4,NA,11
PlayStation 4,17510000,2015.5,17510000,1
Xbox One,8689204,2015.5,8679458,2
Nintendo 3DS,7378773,2015.5,7369683,3
Nintendo Wii U,3483087,2015.5,3481465,4
PlayStation Vita,2704083,2015.5,2701862,5
PlayStation 3,1383801,2015.5,1377087,6
Xbox 360,974789,2015.5,960358,7
Nintendo Wii,67427,2015.5,67549,8
Nintendo DS,NA,2015.5,NA,9
Playstation Portable,NA,2015.5,NA,10
Nintendo Switch,NA,2015.5,NA,11
PlayStation 4,17510000,2015.6,17510000,1
Xbox One,8698883,2015.6,8689204,2
Nintendo 3DS,7389560,2015.6,7378773,3
Nintendo Wii U,3497792,2015.6,3483087,4
PlayStation Vita,2721249,2015.6,2704083,5
PlayStation 3,1384553,2015.6,1383801,6
Xbox 360,988490,2015.6,974789,7
Nintendo Wii,66649,2015.6,67427,8
Nintendo DS,NA,2015.6,NA,9
Playstation Portable,NA,2015.6,NA,10
Nintendo Switch,NA,2015.6,NA,11
PlayStation 4,17510000,2015.7,17510000,1
Xbox One,8711951,2015.7,8698883,2
Nintendo 3DS,7399539,2015.7,7389560,3
Nintendo Wii U,3507216,2015.7,3497792,4
PlayStation Vita,2733934,2015.7,2721249,5
PlayStation 3,1388091,2015.7,1384553,6
Xbox 360,1000464,2015.7,988490,7
Nintendo Wii,66404,2015.7,66649,8
Nintendo DS,NA,2015.7,NA,9
Playstation Portable,NA,2015.7,NA,10
Nintendo Switch,NA,2015.7,NA,11
PlayStation 4,17510000,2015.8,17510000,1
Xbox One,8730180,2015.8,8711951,2
Nintendo 3DS,7415229,2015.8,7399539,3
Nintendo Wii U,3508658,2015.8,3507216,4
PlayStation Vita,2751205,2015.8,2733934,5
PlayStation 3,1388619,2015.8,1388091,6
Xbox 360,1016935,2015.8,1000464,7
Nintendo Wii,65939,2015.8,66404,8
Nintendo DS,NA,2015.8,NA,9
Playstation Portable,NA,2015.8,NA,10
Nintendo Switch,NA,2015.8,NA,11
PlayStation 4,17510000,2015.9,17510000,1
Xbox One,8742463,2015.9,8730180,2
Nintendo 3DS,7431560,2015.9,7415229,3
Nintendo Wii U,3511864,2015.9,3508658,4
PlayStation Vita,2756040,2015.9,2751205,5
PlayStation 3,1399239,2015.9,1388619,6
Xbox 360,1034034,2015.9,1016935,7
Nintendo Wii,65187,2015.9,65939,8
Nintendo DS,NA,2015.9,NA,9
Playstation Portable,NA,2015.9,NA,10
Nintendo Switch,NA,2015.9,NA,11
PlayStation 4,17590000,2016,17510000,1
Xbox One,8370000,2016,8742463,2
Nintendo 3DS,7590000,2016,7431560,3
PlayStation Vita,2040000,2016,2756040,4
Nintendo Wii U,1160000,2016,3511864,5
PlayStation 3,520000,2016,1399239,6
Xbox 360,390000,2016,1034034,7
Nintendo DS,NA,2016,NA,8
Playstation Portable,NA,2016,NA,9
Nintendo Wii,NA,2016,65187,10
Nintendo Switch,NA,2016,NA,11
PlayStation 4,17597946,2016.1,17590000,1
Xbox One,8383316,2016.1,8370000,2
Nintendo 3DS,7603582,2016.1,7590000,3
PlayStation Vita,2042403,2016.1,2040000,4
Nintendo Wii U,1159318,2016.1,1160000,5
PlayStation 3,537834,2016.1,520000,6
Xbox 360,407729,2016.1,390000,7
Nintendo DS,NA,2016.1,NA,8
Playstation Portable,NA,2016.1,NA,9
Nintendo Wii,NA,2016.1,NA,10
Nintendo Switch,NA,2016.1,NA,11
PlayStation 4,17603884,2016.2,17597946,1
Xbox One,8402605,2016.2,8383316,2
Nintendo 3DS,7611135,2016.2,7603582,3
PlayStation Vita,2058212,2016.2,2042403,4
Nintendo Wii U,1158450,2016.2,1159318,5
PlayStation 3,542183,2016.2,537834,6
Xbox 360,420825,2016.2,407729,7
Nintendo DS,NA,2016.2,NA,8
Playstation Portable,NA,2016.2,NA,9
Nintendo Wii,NA,2016.2,NA,10
Nintendo Switch,NA,2016.2,NA,11
PlayStation 4,17611619,2016.3,17603884,1
Xbox One,8408658,2016.3,8402605,2
Nintendo 3DS,7614373,2016.3,7611135,3
PlayStation Vita,2072646,2016.3,2058212,4
Nintendo Wii U,1158400,2016.3,1158450,5
PlayStation 3,561948,2016.3,542183,6
Xbox 360,431555,2016.3,420825,7
Nintendo DS,NA,2016.3,NA,8
Playstation Portable,NA,2016.3,NA,9
Nintendo Wii,NA,2016.3,NA,10
Nintendo Switch,NA,2016.3,NA,11
PlayStation 4,17624844,2016.4,17611619,1
Xbox One,8423995,2016.4,8408658,2
Nintendo 3DS,7629583,2016.4,7614373,3
PlayStation Vita,2083101,2016.4,2072646,4
Nintendo Wii U,1157476,2016.4,1158400,5
PlayStation 3,571684,2016.4,561948,6
Xbox 360,445821,2016.4,431555,7
Nintendo DS,NA,2016.4,NA,8
Playstation Portable,NA,2016.4,NA,9
Nintendo Wii,NA,2016.4,NA,10
Nintendo Switch,NA,2016.4,NA,11
PlayStation 4,17627223,2016.5,17624844,1
Xbox One,8425032,2016.5,8423995,2
Nintendo 3DS,7645988,2016.5,7629583,3
PlayStation Vita,2099378,2016.5,2083101,4
Nintendo Wii U,1157507,2016.5,1157476,5
PlayStation 3,573017,2016.5,571684,6
Xbox 360,448638,2016.5,445821,7
Nintendo DS,NA,2016.5,NA,8
Playstation Portable,NA,2016.5,NA,9
Nintendo Wii,NA,2016.5,NA,10
Nintendo Switch,NA,2016.5,NA,11
PlayStation 4,17636166,2016.6,17627223,1
Xbox One,8426101,2016.6,8425032,2
Nintendo 3DS,7654692,2016.6,7645988,3
PlayStation Vita,2112302,2016.6,2099378,4
Nintendo Wii U,1156556,2016.6,1157507,5
PlayStation 3,589439,2016.6,573017,6
Xbox 360,449099,2016.6,448638,7
Nintendo DS,NA,2016.6,NA,8
Playstation Portable,NA,2016.6,NA,9
Nintendo Wii,NA,2016.6,NA,10
Nintendo Switch,NA,2016.6,NA,11
PlayStation 4,17653025,2016.7,17636166,1
Xbox One,8437197,2016.7,8426101,2
Nintendo 3DS,7670953,2016.7,7654692,3
PlayStation Vita,2119528,2016.7,2112302,4
Nintendo Wii U,1155791,2016.7,1156556,5
PlayStation 3,608534,2016.7,589439,6
Xbox 360,459338,2016.7,449099,7
Nintendo DS,NA,2016.7,NA,8
Playstation Portable,NA,2016.7,NA,9
Nintendo Wii,NA,2016.7,NA,10
Nintendo Switch,NA,2016.7,NA,11
PlayStation 4,17664248,2016.8,17653025,1
Xbox One,8454345,2016.8,8437197,2
Nintendo 3DS,7690642,2016.8,7670953,3
PlayStation Vita,2125468,2016.8,2119528,4
Nintendo Wii U,1155019,2016.8,1155791,5
PlayStation 3,615809,2016.8,608534,6
Xbox 360,475784,2016.8,459338,7
Nintendo DS,NA,2016.8,NA,8
Playstation Portable,NA,2016.8,NA,9
Nintendo Wii,NA,2016.8,NA,10
Nintendo Switch,NA,2016.8,NA,11
PlayStation 4,17673606,2016.9,17664248,1
Xbox One,8460375,2016.9,8454345,2
Nintendo 3DS,7699990,2016.9,7690642,3
PlayStation Vita,2136441,2016.9,2125468,4
Nintendo Wii U,1155070,2016.9,1155019,5
PlayStation 3,622743,2016.9,615809,6
Xbox 360,485256,2016.9,475784,7
Nintendo DS,NA,2016.9,NA,8
Playstation Portable,NA,2016.9,NA,9
Nintendo Wii,NA,2016.9,NA,10
Nintendo Switch,NA,2016.9,NA,11
PlayStation 4,19640000,2017,17673606,1
Nintendo Switch,11850000,2017,NA,2
Xbox One,8210000,2017,8460375,3
Nintendo 3DS,6190000,2017,7699990,4
PlayStation Vita,720000,2017,2136441,5
PlayStation 3,110000,2017,622743,6
Nintendo Wii U,100000,2017,1155070,7
Xbox 360,60000,2017,485256,8
Nintendo DS,NA,2017,NA,9
Playstation Portable,NA,2017,NA,10
Nintendo Wii,NA,2017,NA,11
PlayStation 4,19635385,2017.1,19640000,1
Nintendo Switch,11849755,2017.1,11850000,2
Xbox One,8211802,2017.1,8210000,3
Nintendo 3DS,6192929,2017.1,6190000,4
PlayStation Vita,718465,2017.1,720000,5
PlayStation 3,128972,2017.1,110000,6
Nintendo Wii U,99454,2017.1,100000,7
Xbox 360,60762,2017.1,60000,8
Nintendo DS,NA,2017.1,NA,9
Playstation Portable,NA,2017.1,NA,10
Nintendo Wii,NA,2017.1,NA,11
PlayStation 4,19626226,2017.2,19635385,1
Nintendo Switch,11843323,2017.2,11849755,2
Xbox One,8205640,2017.2,8211802,3
Nintendo 3DS,6193667,2017.2,6192929,4
PlayStation Vita,709780,2017.2,718465,5
PlayStation 3,146313,2017.2,128972,6
Nintendo Wii U,99012,2017.2,99454,7
Xbox 360,62356,2017.2,60762,8
Nintendo DS,NA,2017.2,NA,9
Playstation Portable,NA,2017.2,NA,10
Nintendo Wii,NA,2017.2,NA,11
PlayStation 4,19617795,2017.3,19626226,1
Nintendo Switch,11837872,2017.3,11843323,2
Xbox One,8202163,2017.3,8205640,3
Nintendo 3DS,6188715,2017.3,6193667,4
PlayStation Vita,710927,2017.3,709780,5
PlayStation 3,160368,2017.3,146313,6
Nintendo Wii U,98498,2017.3,99012,7
Xbox 360,62495,2017.3,62356,8
Nintendo DS,NA,2017.3,NA,9
Playstation Portable,NA,2017.3,NA,10
Nintendo Wii,NA,2017.3,NA,11
PlayStation 4,19611789,2017.4,19617795,1
Nintendo Switch,11840815,2017.4,11837872,2
Xbox One,8196261,2017.4,8202163,3
Nintendo 3DS,6179157,2017.4,6188715,4
PlayStation Vita,704981,2017.4,710927,5
PlayStation 3,174463,2017.4,160368,6
Nintendo Wii U,97810,2017.4,98498,7
Xbox 360,63509,2017.4,62495,8
Nintendo DS,NA,2017.4,NA,9
Playstation Portable,NA,2017.4,NA,10
Nintendo Wii,NA,2017.4,NA,11
PlayStation 4,19610179,2017.5,19611789,1
Nintendo Switch,11841666,2017.5,11840815,2
Xbox One,8198843,2017.5,8196261,3
Nintendo 3DS,6175693,2017.5,6179157,4
PlayStation Vita,707909,2017.5,704981,5
PlayStation 3,184584,2017.5,174463,6
Nintendo Wii U,97289,2017.5,97810,7
Xbox 360,63905,2017.5,63509,8
Nintendo DS,NA,2017.5,NA,9
Playstation Portable,NA,2017.5,NA,10
Nintendo Wii,NA,2017.5,NA,11
PlayStation 4,19607454,2017.6,19610179,1
Nintendo Switch,11843356,2017.6,11841666,2
Xbox One,8195995,2017.6,8198843,3
Nintendo 3DS,6173148,2017.6,6175693,4
PlayStation Vita,707421,2017.6,707909,5
PlayStation 3,199442,2017.6,184584,6
Nintendo Wii U,96601,2017.6,97289,7
Xbox 360,65632,2017.6,63905,8
Nintendo DS,NA,2017.6,NA,9
Playstation Portable,NA,2017.6,NA,10
Nintendo Wii,NA,2017.6,NA,11
PlayStation 4,19600274,2017.7,19607454,1
Nintendo Switch,11840817,2017.7,11843356,2
Xbox One,8186713,2017.7,8195995,3
Nintendo 3DS,6173132,2017.7,6173148,4
PlayStation Vita,703889,2017.7,707421,5
PlayStation 3,216054,2017.7,199442,6
Nintendo Wii U,96634,2017.7,96601,7
Xbox 360,65824,2017.7,65632,8
Nintendo DS,NA,2017.7,NA,9
Playstation Portable,NA,2017.7,NA,10
Nintendo Wii,NA,2017.7,NA,11
PlayStation 4,19597059,2017.8,19600274,1
Nintendo Switch,11839166,2017.8,11840817,2
Xbox One,8179568,2017.8,8186713,3
Nintendo 3DS,6171222,2017.8,6173132,4
PlayStation Vita,699109,2017.8,703889,5
PlayStation 3,219754,2017.8,216054,6
Nintendo Wii U,96504,2017.8,96634,7
Xbox 360,66392,2017.8,65824,8
Nintendo DS,NA,2017.8,NA,9
Playstation Portable,NA,2017.8,NA,10
Nintendo Wii,NA,2017.8,NA,11
PlayStation 4,19589808,2017.9,19597059,1
Nintendo Switch,11835276,2017.9,11839166,2
Xbox One,8176065,2017.9,8179568,3
Nintendo 3DS,6166744,2017.9,6171222,4
PlayStation Vita,692287,2017.9,699109,5
PlayStation 3,219989,2017.9,219754,6
Nintendo Wii U,95640,2017.9,96504,7
Xbox 360,66519,2017.9,66392,8
Nintendo DS,NA,2017.9,NA,9
Playstation Portable,NA,2017.9,NA,10
Nintendo Wii,NA,2017.9,NA,11
PlayStation 4,18589808.4,2018,19589808,1
Nintendo Switch,17051233.5,2018,11835276,2
Xbox One,6969238.8,2018,8176065,3
Nintendo 3DS,3542165.3,2018,6166744,4
PlayStation Vita,221255.34,2018,692287,5
PlayStation 3,NA,2018,219989,6
Nintendo DS,NA,2018,NA,7
Playstation Portable,NA,2018,NA,8
Xbox 360,NA,2018,66519,9
Nintendo Wii,NA,2018,NA,10
Nintendo Wii U,NA,2018,95640,11
